Title,Links,VideoLink,ScrapedData
**NEW IN** ASOS SPRING 2024 HAUL + TRY ON | I found the best stuff 🤩 | Chisom Aimee,https://go.shopmy.us/p-4051450,https://www.youtube.com/watch?v=7bgLJhXuLJE,"{'item': 'ASOS DESIGN strappy maxi dress with contrast ties in tiger print', 'polyester': '95', 'elastane': '5'}
"
"Huge EASTER Spring Dress TRY ON HAUL *ASOS, AW Bridal, Topshop &amp; More* !!","https://www.awbridal.com/aw-coralia-dress-lf22191cp.html
https://www.awbridal.com/aw-cecilia-dress-lf23233cp.html",https://www.youtube.com/watch?v=xbd-nv6uEI4,"{'item': 'Unsupported URL', 'url': 'https://www.awbridal.com/aw-coralia-dress-lf22191cp.html'}
{'item': 'Unsupported URL', 'url': 'https://www.awbridal.com/aw-cecilia-dress-lf23233cp.html'}
"
"HUGE HAUL; ZARA, MANGO, ASOS, ABERCROMBIE, NET A PORTER","https://rstyle.me/+pxTLJk1bQ7n_BCcHxWkSRA
https://rstyle.me/+gLcr0sQHkLVRJidO6d8ylw
https://rstyle.me/+_bXhwWyCM2F3UeUdzAKS1A
https://rstyle.me/+bWydUG66AmGT2_jT9mHfmw
https://rstyle.me/+zavZnVqgbl-c3Aq2kynxBw
https://rstyle.me/+0xZXIMTypqzlTaSSQxvGSw
https://rstyle.me/+YlT35_edfdQMMnyAllA-lw
https://rstyle.me/+QuHdNWKI6aYFVcIcBFW3wA
https://rstyle.me/+XSPjGnUATd46gM3Zt5Pn4Q
https://rstyle.me/+A4pYU2lWEzENfGZ-VzQtjg
https://rstyle.me/+K1aLmdhxOJ_6pkWrXhtOAQ
https://rstyle.me/+K1aLmdhxOJ_6pkWrXhtOAQ
https://rstyle.me/+MNAPVqu1qPtkg-pSWGYKDA
https://www.zara.com/uk/en/cropped-blazer-with-padded-shoulders-p02753126.html?v1=311308804
https://www.zara.com/uk/en/zw-collection-short-dress-p02331948.html?v1=324707358
https://www.zara.com/uk/en/short-blazer-with-shirt-collar-p02422539.html?v1=329281461
https://www.zara.com/uk/en/mini-skirt-with-side-slits-p02388539.html?v1=328279981
https://www.zara.com/uk/en/high-heel-slingback-shoes-p12222310.html?v1=315219399
https://www.zara.com/uk/en/floral-briefs-with-embroidery-p08351508.html?v1=318024023
https://www.zara.com/uk/en/denim-pinafore-dress-and-briefs-co-ord-p04406500.html?v1=315571649
https://www.zara.com/uk/en/2-pack-of-ribbed-leggings-p04174523.html?v1=324055229
https://www.zara.com/uk/en/pack-of-two-adjustable-ribbed-bodysuits-p04174524.html?v1=324054343
https://rstyle.me/+csYGKHW6OGVP3tXPmRIWMw
https://rstyle.me/+htfBhp2OLoIK9vkE5fRXZA
https://rstyle.me/+0zdA7iBKHvUCEOpVPFBWag
https://rstyle.me/+f8tZROnIIYWVExxO_JmL0g
https://rstyle.me/+qFwZjHFQ6GgwHxpLO3GR-w
https://rstyle.me/+v7oU_smE88reB2mWlsBllQ
https://www.rubyholley.com/",https://www.youtube.com/watch?v=rN9qW8d8Zxo,"{'item': 'Unsupported URL', 'url': 'https://rstyle.me/+pxTLJk1bQ7n_BCcHxWkSRA'}
{'item': 'Unsupported URL', 'url': 'https://rstyle.me/+gLcr0sQHkLVRJidO6d8ylw'}
{'item': 'Unsupported URL', 'url': 'https://rstyle.me/+_bXhwWyCM2F3UeUdzAKS1A'}
{'item': 'Unsupported URL', 'url': 'https://rstyle.me/+bWydUG66AmGT2_jT9mHfmw'}
{'item': 'Unsupported URL', 'url': 'https://rstyle.me/+zavZnVqgbl-c3Aq2kynxBw'}
{'item': 'Unsupported URL', 'url': 'https://rstyle.me/+0xZXIMTypqzlTaSSQxvGSw'}
{'item': 'No Data', 'url': 'https://rstyle.me/+YlT35_edfdQMMnyAllA-lw'}
{'item': 'No Data', 'url': 'https://rstyle.me/+QuHdNWKI6aYFVcIcBFW3wA'}
{'item': 'No Data', 'url': 'https://rstyle.me/+XSPjGnUATd46gM3Zt5Pn4Q'}
{'item': 'ASOS DESIGN denim mini shirt dress with front pockets in bleach wash', 'cotton': '100'}
{'item': 'River Island longline waistcoat in black', 'polyester': '100'}
{'item': 'River Island longline waistcoat in black', 'polyester': '100'}
{'item': 'No Data', 'url': 'https://rstyle.me/+MNAPVqu1qPtkg-pSWGYKDA'}
{'item': 'Unsupported URL', 'url': 'https://www.zara.com/uk/en/cropped-blazer-with-padded-shoulders-p02753126.html?v1=311308804'}
{'item': 'Unsupported URL', 'url': 'https://www.zara.com/uk/en/zw-collection-short-dress-p02331948.html?v1=324707358'}
{'item': 'Unsupported URL', 'url': 'https://www.zara.com/uk/en/short-blazer-with-shirt-collar-p02422539.html?v1=329281461'}
{'item': 'Unsupported URL', 'url': 'https://www.zara.com/uk/en/mini-skirt-with-side-slits-p02388539.html?v1=328279981'}
{'item': 'Unsupported URL', 'url': 'https://www.zara.com/uk/en/high-heel-slingback-shoes-p12222310.html?v1=315219399'}
{'item': 'Unsupported URL', 'url': 'https://www.zara.com/uk/en/floral-briefs-with-embroidery-p08351508.html?v1=318024023'}
{'item': 'Unsupported URL', 'url': 'https://www.zara.com/uk/en/denim-pinafore-dress-and-briefs-co-ord-p04406500.html?v1=315571649'}
{'item': 'Unsupported URL', 'url': 'https://www.zara.com/uk/en/2-pack-of-ribbed-leggings-p04174523.html?v1=324055229'}
{'item': 'Unsupported URL', 'url': 'https://www.zara.com/uk/en/pack-of-two-adjustable-ribbed-bodysuits-p04174524.html?v1=324054343'}
{'item': 'Unsupported URL', 'url': 'https://rstyle.me/+csYGKHW6OGVP3tXPmRIWMw'}
{'item': 'Unsupported URL', 'url': 'https://rstyle.me/+htfBhp2OLoIK9vkE5fRXZA'}
{'item': 'Unsupported URL', 'url': 'https://rstyle.me/+0zdA7iBKHvUCEOpVPFBWag'}
{'item': 'Unsupported URL', 'url': 'https://rstyle.me/+f8tZROnIIYWVExxO_JmL0g'}
{'item': 'Unsupported URL', 'url': 'https://rstyle.me/+qFwZjHFQ6GgwHxpLO3GR-w'}
{'item': 'Unsupported URL', 'url': 'https://rstyle.me/+v7oU_smE88reB2mWlsBllQ'}
{'item': 'Unsupported URL', 'url': 'https://www.rubyholley.com/'}
"
SPRING ASOS HAUL &amp; TRY ON APRIL 2024 *casual hgw outfits* | KatesBeautyStation,"https://bit.ly/3vkrRE0
https://bit.ly/3PG4J9G
https://bit.ly/3PBmIOr
https://bit.ly/4acPOMA
https://bit.ly/4cx7sw3
https://bit.ly/3vy8uHr
https://bit.ly/4cBC939
https://tidd.ly/3ui0J3I
https://bit.ly/3W110DX
https://www.parfumsmicallef.com
https://bit.ly/3CHnJyd
https://soradora.fr
https://bit.ly/40eKhjA
https://carnerbarcelona.com
https://experimentalperfumeclub.com
https://byron-parfums.fr
https://tidd.ly/3rr3waI
https://tidd.ly/3utGwcP
http://goo.gl/MCuckP",https://www.youtube.com/watch?v=CPItS00xSno,"{'item': 'ASOS 4505 Running woven 1/4 zip jacket in black', 'polyester': '90', 'elastane': '10'}
{'item': 'adidas Training Essentials track top in shadow violet', 'polyester': '100'}
{'item': 'ASOS 4505 Icon seamless rib 1/4 zip long sleeve top in black', 'polyester': '97', 'elastane': '3'}
{'item': 'ASOS 4505 oversized cropped fit long sleeve t-shirt in washed black', 'cotton': '100'}
{'item': 'The North Face Oversized heavyweight t-shirt in green Exclusive at ASOS', 'cotton': '100'}
{'item': 'ASOS DESIGN 90s straight jean in washed black', 'cotton': '100'}
{'item': ""ASOS DESIGN Petite 90's straight jean in washed black"", 'cotton': '100'}
{'item': 'Unsupported URL', 'url': 'https://tidd.ly/3ui0J3I'}
{'item': 'Unsupported URL', 'url': 'https://bit.ly/3W110DX'}
{'item': 'Unsupported URL', 'url': 'https://www.parfumsmicallef.com'}
{'item': 'Unsupported URL', 'url': 'https://bit.ly/3CHnJyd'}
{'item': 'Unsupported URL', 'url': 'https://soradora.fr'}
{'item': 'Unsupported URL', 'url': 'https://bit.ly/40eKhjA'}
{'item': 'Unsupported URL', 'url': 'https://carnerbarcelona.com'}
{'item': 'Unsupported URL', 'url': 'https://experimentalperfumeclub.com'}
{'item': 'Unsupported URL', 'url': 'https://byron-parfums.fr'}
{'item': 'Unsupported URL', 'url': 'https://tidd.ly/3rr3waI'}
{'item': 'Unsupported URL', 'url': 'https://tidd.ly/3utGwcP'}
{'item': 'Unsupported URL', 'url': 'http://goo.gl/MCuckP'}
"
ASOS TRY ON HAUL | Emily Wilson Fashion #haul #outfit,"https://www.stylink.it/b4g0psDDNLx
https://www.stylink.it/Ox04NFzzwmZ
https://www.stylink.it/ryOnwTQQzwg
https://www.stylink.it/9yMBLTGGjmZ
https://www.stylink.it/dng0oFNNml2
https://www.stylink.it/5x67QFwwjr3
https://www.stylink.it/L3yr7Tll2ng",https://www.youtube.com/watch?v=R8gSNRD_3a4,"{'item': 'Unsupported URL', 'url': 'https://www.stylink.it/b4g0psDDNLx'}
{'item': 'Unsupported URL', 'url': 'https://www.stylink.it/Ox04NFzzwmZ'}
{'item': 'Unsupported URL', 'url': 'https://www.stylink.it/ryOnwTQQzwg'}
{'item': 'Unsupported URL', 'url': 'https://www.stylink.it/9yMBLTGGjmZ'}
{'item': 'Unsupported URL', 'url': 'https://www.stylink.it/dng0oFNNml2'}
{'item': 'Unsupported URL', 'url': 'https://www.stylink.it/5x67QFwwjr3'}
{'item': 'Unsupported URL', 'url': 'https://www.stylink.it/L3yr7Tll2ng'}
"
"TRY ON HAUL ZARA, H&amp;M, ABOUT YOU, ASOS... 💸✨ *saldi e new collection*","https://rstyle.me/+hdY6AX-MGqTm7GVqJfE21g
https://rstyle.me/+469dj_wF1u8gk5mD2n0hAw
https://app.im.skeepers.io/c/hchdy/r/hbvqb
https://gisou.com/products/ultra-hydrating-hair-heroes
https://rstyle.me/+-DGz2doSOCCJJP9D6tqytQ
https://rstyle.me/+pSIt6hkLhpyeTon2QCbU9g
https://rstyle.me/+i0CSCS2KSWzaX6LDrUA4oQ
https://www.zara.com/it/it/share/-p02599930.html?v1=336280517&utm_campaign=productShare&utm_medium=mobile_sharing_iOS&utm_source=red_social_movil
https://www.zara.com/it/it/share/-p05427426.html?v1=322677499&utm_campaign=productShare&utm_medium=mobile_sharing_iOS&utm_source=red_social_movil
https://rstyle.me/+E12EzTJWA0CG6ILxoAPZuQ
https://rstyle.me/+E12EzTJWA0CG6ILxoAPZuQ
https://rstyle.me/+ZgOACNP-yoFFwCXPl3rEnw
https://rstyle.me/+P2iTF49NCljWDxYqMAYTDA
https://rstyle.me/+3NnqSF90S1JBJu_pqd989Q
https://rstyle.me/+gDPcPDiNx1-FHgHML0Z6uQ
https://linktr.ee/erikanotarangelo
https://www.amazon.it/hz/wishlist/ls/AF4D9K5HOWCY?ref_=wl_share
https://www.patreon.com/erikanotarangelo
https://paypal.me/erikanotarangelo?locale.x=it_IT",https://www.youtube.com/watch?v=LW0Ogz1e0pI,"{'item': 'Unsupported URL', 'url': 'https://rstyle.me/+hdY6AX-MGqTm7GVqJfE21g'}
{'item': 'Unsupported URL', 'url': 'https://rstyle.me/+469dj_wF1u8gk5mD2n0hAw'}
{'item': 'Unsupported URL', 'url': 'https://app.im.skeepers.io/c/hchdy/r/hbvqb'}
{'item': 'Unsupported URL', 'url': 'https://gisou.com/products/ultra-hydrating-hair-heroes'}
{'item': 'Unsupported URL', 'url': 'https://rstyle.me/+-DGz2doSOCCJJP9D6tqytQ'}
{'item': 'Unsupported URL', 'url': 'https://rstyle.me/+pSIt6hkLhpyeTon2QCbU9g'}
{'item': 'Unsupported URL', 'url': 'https://rstyle.me/+i0CSCS2KSWzaX6LDrUA4oQ'}
{'item': 'Unsupported URL', 'url': 'https://www.zara.com/it/it/share/-p02599930.html?v1=336280517&utm_campaign=productShare&utm_medium=mobile_sharing_iOS&utm_source=red_social_movil'}
{'item': 'Unsupported URL', 'url': 'https://www.zara.com/it/it/share/-p05427426.html?v1=322677499&utm_campaign=productShare&utm_medium=mobile_sharing_iOS&utm_source=red_social_movil'}
{'item': 'ASOS DESIGN - Joggers dritti ghiaccio mélange in coordinato', 'cotone': '71', 'poliestere': '28', 'viscosa': '1'}
{'item': 'ASOS DESIGN - Joggers dritti ghiaccio mélange in coordinato', 'cotone': '71', 'poliestere': '28', 'viscosa': '1'}
{'item': 'Unsupported URL', 'url': 'https://rstyle.me/+ZgOACNP-yoFFwCXPl3rEnw'}
{'item': 'Unsupported URL', 'url': 'https://rstyle.me/+P2iTF49NCljWDxYqMAYTDA'}
{'item': 'Unsupported URL', 'url': 'https://rstyle.me/+3NnqSF90S1JBJu_pqd989Q'}
{'item': 'Unsupported URL', 'url': 'https://rstyle.me/+gDPcPDiNx1-FHgHML0Z6uQ'}
{'item': 'Unsupported URL', 'url': 'https://linktr.ee/erikanotarangelo'}
{'item': 'Unsupported URL', 'url': 'https://www.amazon.it/hz/wishlist/ls/AF4D9K5HOWCY?ref_=wl_share'}
{'item': 'Unsupported URL', 'url': 'https://www.patreon.com/erikanotarangelo'}
{'item': 'Unsupported URL', 'url': 'https://paypal.me/erikanotarangelo?locale.x=it_IT'}
"
ASOS try on haul 2024,https://www.vinted.co.uk/member/57266940-charmason127,https://www.youtube.com/watch?v=GTz3XlU4sWs,"{'item': 'Unsupported URL', 'url': 'https://www.vinted.co.uk/member/57266940-charmason127'}
"
ASOS try on haul 2024,https://www.vinted.co.uk/member/57266940-charmason127,https://www.youtube.com/watch?v=GTz3XlU4sWs,"{'item': 'Unsupported URL', 'url': 'https://www.vinted.co.uk/member/57266940-charmason127'}
"
ASOS clothing fall/winter try on haul ❄️,"https://www.asos.com/asos-design/asos-design-drop-earring-with-crystal-skeleton-design/prd/205090327?ctaRef=my+orders
https://www.asos.com/jjxx/jjxx-jamie-oversized-poplin-shirt-in-purple/prd/203637818?ctaRef=my+orders
https://www.asos.com/topshop/topshop-knitted-crew-neck-jumper-in-purple/prd/204388196?ctaRef=my+orders
https://www.asos.com/noisy-may/noisy-may-fisherman-rib-cardigan-in-cream/prd/203624044?ctaRef=my+orders
https://www.asos.com/asos-design/asos-design-cable-cardigan-in-cream/prd/205011224?ctaRef=my+orders
https://www.asos.com/vero-moda/vero-moda-chunky-v-neck-jumper-in-pink/prd/203744398?ctaRef=my+orders
https://www.asos.com/violet-romance/violet-romance-cardigan-with-contrast-trims-in-pink/prd/203042829?ctaRef=my+orders
https://www.asos.com/miss-selfridge/miss-selfridge-super-lash-cardi-with-button-detail-in-pink/prd/202312627?ctaRef=my+orders
https://www.asos.com/vero-moda/vero-moda-lightweight-crew-neck-jumper-in-lilac/prd/205290349?ctaRef=my+orders
https://www.asos.com/asos-design/asos-design-knitted-cropped-cardigan-with-double-zip-in-black/prd/204888955?ctaRef=my+orders
https://www.asos.com/asos-design/asos-design-oxford-shirt-in-green-stripe/prd/205290464?ctaRef=my+orders
https://www.asos.com/extro-vert/extro-vert-sheer-chiffon-tie-front-blouse-in-black/prd/203446905?ctaRef=my+orders
https://www.asos.com/asos-design/asos-design-halter-neck-crop-top-in-black/prd/22707145?ctaRef=my+orders",https://www.youtube.com/watch?v=zJQSnpZGDuU,"{'item': 'No Data', 'url': 'https://www.asos.com/asos-design/asos-design-drop-earring-with-crystal-skeleton-design/prd/205090327?ctaRef=my+orders'}
{'item': 'No Data', 'url': 'https://www.asos.com/jjxx/jjxx-jamie-oversized-poplin-shirt-in-purple/prd/203637818?ctaRef=my+orders'}
{'item': 'Topshop knitted crew neck jumper in purple', 'polyester': '85', 'acrylic': '15'}
{'item': 'No Data', 'url': 'https://www.asos.com/noisy-may/noisy-may-fisherman-rib-cardigan-in-cream/prd/203624044?ctaRef=my+orders'}
{'item': 'No Data', 'url': 'https://www.asos.com/asos-design/asos-design-cable-cardigan-in-cream/prd/205011224?ctaRef=my+orders'}
{'item': 'No Data', 'url': 'https://www.asos.com/vero-moda/vero-moda-chunky-v-neck-jumper-in-pink/prd/203744398?ctaRef=my+orders'}
{'item': 'No Data', 'url': 'https://www.asos.com/violet-romance/violet-romance-cardigan-with-contrast-trims-in-pink/prd/203042829?ctaRef=my+orders'}
{'item': 'Miss Selfridge super lash cardi with button detail in pink', 'nylon': '64', 'acrylic': '36'}
{'item': 'No Data', 'url': 'https://www.asos.com/vero-moda/vero-moda-lightweight-crew-neck-jumper-in-lilac/prd/205290349?ctaRef=my+orders'}
{'item': 'ASOS DESIGN knitted cropped cardigan with double zip in black', 'cotton': '100'}
{'item': 'ASOS DESIGN oxford shirt in green stripe', 'cotton': '55', 'polyester': '45'}
{'item': 'No Data', 'url': 'https://www.asos.com/extro-vert/extro-vert-sheer-chiffon-tie-front-blouse-in-black/prd/203446905?ctaRef=my+orders'}
{'item': 'ASOS DESIGN halter neck crop top in black', 'cotton': '95', 'elastane': '5'}
"
Как заказать с ASOS в 2024 в Россию | Доставка из официального интерне-магазина | SHOPOZZ.RU,"https://t.me/shopozzru_bot
https://t.me/+AgSiM6t8OPIxNGYy
https://clck.ru/32jRew
https://vk.com/shopozz",https://www.youtube.com/watch?v=dZo4k4ZRgDA,"{'item': 'Unsupported URL', 'url': 'https://t.me/shopozzru_bot'}
{'item': 'Unsupported URL', 'url': 'https://t.me/+AgSiM6t8OPIxNGYy'}
{'item': 'Unsupported URL', 'url': 'https://clck.ru/32jRew'}
{'item': 'Unsupported URL', 'url': 'https://vk.com/shopozz'}
"
