Title,Links,ScrapedData
updating my WHOLE WARDROBE for summer *princess polly haul*,"http://www.princesspolly.com.au
https://www.princesspolly.com.au/products/kayte-scrunchie-white](https://www.princesspolly.com.au/products/kayte-scrunchie-white
https://www.princesspolly.com.au/products/kendelton-hair-clip-pack-white](https://www.princesspolly.com.au/products/kendelton-hair-clip-pack-white
https://www.princesspolly.com.au/products/katrine-flower-maxi-dress-black?variant=39903861407816](https://www.princesspolly.com.au/products/katrine-flower-maxi-dress-black?variant=39903861407816
https://www.princesspolly.com.au/products/barely-there-tie-top-onyx?variant=39956051329096](https://www.princesspolly.com.au/products/barely-there-tie-top-onyx?variant=39956051329096
https://www.princesspolly.com.au/products/belle-knit-maxi-skirt-white-petite?variant=39878123323464](https://www.princesspolly.com.au/products/belle-knit-maxi-skirt-white-petite?variant=39878123323464
https://www.princesspolly.com.au/products/glory-mini-dress-blush?variant=39930542227528](https://www.princesspolly.com.au/products/glory-mini-dress-blush?variant=39930542227528
https://www.princesspolly.com.au/products/uzo-top-white-lower-impact?variant=39953154179144](https://www.princesspolly.com.au/products/uzo-top-white-lower-impact?variant=39953154179144
https://www.princesspolly.com.au/products/zakai-cargo-mini-skirt-mid-wash-denim](https://www.princesspolly.com.au/products/zakai-cargo-mini-skirt-mid-wash-denim
https://www.princesspolly.com.au/products/bella-moto-jacket-chocolate?variant=39586701639752](https://www.princesspolly.com.au/products/bella-moto-jacket-chocolate?variant=39586701639752
https://www.princesspolly.com.au/products/ashen-maxi-dress-white?variant=39950595555400](https://www.princesspolly.com.au/products/ashen-maxi-dress-white?variant=39950595555400
https://www.princesspolly.com.au/products/zurie-set-black?variant=39935206588488](https://www.princesspolly.com.au/products/zurie-set-black?variant=39935206588488
https://www.princesspolly.com.au/products/big-dreams-floral-scarf-mini-dress-cream?variant=39857089544264](https://www.princesspolly.com.au/products/big-dreams-floral-scarf-mini-dress-cream?variant=39857089544264
https://www.princesspolly.com.au/products/wayzer-mini-dress-white?variant=39944039268424](https://www.princesspolly.com.au/products/wayzer-mini-dress-white?variant=39944039268424
https://www.princesspolly.com.au/products/jgr-stn-brooklyn-oversized-moto-jacket-black?variant=39840033996872](https://www.princesspolly.com.au/products/jgr-stn-brooklyn-oversized-moto-jacket-black?variant=39840033996872
https://youtu.be/yWIU7aSGOHI
https://www.snapchat.com/add/leahhaltonn
https://depop.app.link/2NMngTjCk2
https://www.bensound.com","{'item': 'Barely there tie top onyx', 'polyester': '100'}
{'item': 'Belle knit maxi skirt white petite', 'acrylic': '65', 'nylon': '35'}
{'item': 'Glory mini dress blush', 'nylon': '88', 'elastane': '12'}
{'item': 'Uzo top white lower impact', 'reclaimed polyester': '90', 'elastane': '10'}
{'item': 'Bella moto jacket chocolate', 'polyester': '95', 'elastane': '5'}
{'item': 'Ashen maxi dress white', 'reclaimed polyester': '100'}
{'item': 'Zurie set black', 'reclaimed polyester': '63', 'polyester': '25', 'nylon': '12'}
{'item': 'Big dreams floral scarf mini dress cream', 'reclaimed polyester': '100'}
{'item': 'Wayzer mini dress white', 'reclaimed polyester': '100'}
{'item': 'Jgr & stn brooklyn oversized moto jacket black', 'nylon': '100'}
"
"ruthlessly ranking IT GIRL brands (Réalisation Par, Djerf Avenue, Reformation, Princess Polly)","https://poshmark.com/closet/alexasunshine83
https://www.whatnot.com/live/0abda69c-b9d6-47e5-a2a4-94ea7f9f9035?app=web&invitedBy=alexasunshine83
https://www.depop.com/alexasunshine83/
https://go.magik.ly/ml/1qmp7/
https://go.magik.ly/ml/1qmpi/
https://go.magik.ly/ml/1qmpl/
https://go.magik.ly/ml/1qmpn/
https://www.etsy.com/shop/WilliamRobertVintage
https://www.epidemicsound.com",
unboxing my new summer wardrobe! 📦  ft. Princess Polly,"https://www.princesspolly.com.au
https://www.princesspolly.com.au/products/gazelle-denim-skort-light-wash
https://www.princesspolly.com.au/products/le-monde-sleep-shirt-dress-pink?variant=39982247673928
https://www.princesspolly.com.au/products/early-riser-sleep-shirt-blue-stripe?variant=39982246330440
https://www.princesspolly.com.au/products/early-riser-sleep-shorts-blue-stripe?variant=39982245838920
https://www.princesspolly.com.au/products/nellie-mini-dress-basil?variant=39672192532552
https://www.princesspolly.com.au/products/beach-day-knit-set-white?variant=39866472759368
https://www.princesspolly.com.au/products/zoe-eco-nylon-top-black?variant=39476698939464
https://www.princesspolly.com.au/products/granno-mini-dress-white?variant=39672198037576
https://www.princesspolly.com.au/products/greeves-playsuit-white-cherry?variant=39976242118728
https://www.princesspolly.com.au/products/gable-top-white?variant=39981498433608
https://www.princesspolly.com.au/products/chantria-top-orange-ruffle?variant=39968382550088
https://www.princesspolly.com.au/products/torquil-top-pink?variant=39988672888904
https://www.princesspolly.com.au/products/kelley-sandals-black?variant=39962200801352
https://www.princesspolly.com.au/products/jarvik-shoulder-bag-black
https://www.princesspolly.com.au/products/kinski-hair-bow-pack-pink
https://www.goodreads.com/rachelcatherine
https://open.spotify.com/user/rachelcatherine998
https://www.epidemicsound.com/referral/cr963l/","{'item': 'Gazelle denim skort light wash', 'cotton': '60', 'reclaimed polyester': '40'}
{'item': 'Le monde sleep shirt dress pink', 'organic cotton': '100'}
{'item': 'Early riser sleep shirt blue stripe', 'reclaimed polyester': '100'}
{'item': 'Early riser sleep shorts blue stripe', 'reclaimed polyester': '100'}
{'item': 'Nellie mini dress basil', 'reclaimed polyester': '90', 'nylon': '10'}
{'item': 'Beach day knit set white', 'cotton': '60', 'acrylic': '40'}
{'item': 'Zoe top black', 'reclaimed nylon': '86', 'elastane': '14'}
{'item': 'Granno mini dress white', 'polyester': '100'}
{'item': 'Greeves romper white / cherry', 'cotton': '100'}
{'item': 'Gable top white', 'polyester': '100'}
{'item': 'Chantria top orange ruffle', 'polyester': '100'}
{'item': 'Torquil top pink', 'polyester': '100'}
{'item': 'Kelley sandals black', 'water-based pu': '100'}
{'item': 'Jarvik shoulder bag black', 'polyester': '100'}
{'item': 'Kinski hair bow pack pink', 'polyester': '95', 'iron': '5'}
"
Huge Summer Princess Polly HAUL + Cute Outfit Ideas | viviannnv,"https://us.princesspolly.com/
https://bit.ly/3PuV2u7
https://merakiandmoon.co
https://tr.ee/thedailydivinefeminine
https://tr.ee/_jPMcDoAVd
https://tr.ee/VL7AfIfPmR
https://tr.ee/YO5TNkDz8b
https://tr.ee/orMqZYWf77
https://us.princesspolly.com/products/maidenwell-contrast-top-black?variant=39793544233044
https://us.princesspolly.com/products/chantria-top-white?variant=39535111962708
https://us.princesspolly.com/products/rendezvous-top-canary?variant=39977038807124
https://us.princesspolly.com/products/cooloola-corset-top-white
https://us.princesspolly.com/products/karley-low-waist-mini-skirt-white?variant=39661654540372
https://us.princesspolly.com/products/oscar-split-maxi-skirt-beige
https://us.princesspolly.com/products/santorini-knit-maxi-skirt-white?variant=39829892300884
https://us.princesspolly.com/products/santa-monica-knit-pants-white?variant=39543586685012
https://us.princesspolly.com/products/caprani-eco-nylon-mini-dress-black?variant=39708391243860
https://us.princesspolly.com/products/nellie-mini-dress-yellow-floral
https://us.princesspolly.com/products/be-mine-floral-mini-dress-yellow-multi
https://us.princesspolly.com/products/clemence-mini-dress-sage
https://us.princesspolly.com/products/floreto-mini-dress-black?refSrc=6729471459412&nosto=productpage-nosto-3-copy-copy-1
https://us.princesspolly.com/products/haden-cut-out-maxi-dress-white
https://us.princesspolly.com/products/oscar-midi-dress-orange
https://us.princesspolly.com/products/oscar-midi-dress-white","{'item': 'Maidenwell contrast top black', 'reclaimed nylon': '86', 'elastane': '14'}
{'item': 'Chantria top white', 'polyester': '100'}
{'item': 'Rendezvous top canary', 'nylon': '88', 'elastane': '12'}
{'item': 'Cooloola corset top white', 'rayon': '54', 'polyester': '46'}
{'item': 'Karley low waist mini skirt white', 'rayon': '65', 'nylon': '30', 'elastane': '5'}
{'item': 'Oscar split maxi skirt beige', 'cotton': '92', 'elastane': '8'}
{'item': 'Santorini knit maxi skirt white', 'viscose': '51', 'nylon': '30', 'polyester': '19'}
{'item': 'Santa monica knit pants white', 'polyester': '98', 'spandex': '2'}
{'item': 'Caprani mini dress grey', 'reclaimed nylon': '86', 'elastane': '14'}
{'item': 'Nellie mini dress yellow floral', 'polyester': '100'}
{'item': 'Be mine floral mini dress yellow multi', 'polyester': '97', 'spandex': '3'}
{'item': 'Clemence mini dress sage', 'polyester': '95', 'elastane': '5'}
{'item': 'Floreto mini dress black', 'rayon': '54', 'polyester': '46'}
{'item': 'Haden cut out maxi dress white', 'polyester ': '100'}
{'item': 'Oscar midi dress orange', 'cotton': '92', 'elastane': '8'}
{'item': 'Oscar midi dress white', 'cotton': '92', 'elastane': '8'}
"
date outfit ideas / spring try-on haul (ft. princess polly),"https://us.princesspolly.com/
https://us.princesspolly.com/products/wyandra-off-the-shoulder-sweater-white?variant=39746127298644
https://us.princesspolly.com/products/mcguane-denim-midi-skirt?refSrc=6724441047124&nosto=productpage-nosto-3
https://us.princesspolly.com/products/fogler-shirt-white
https://us.princesspolly.com/products/recycled-fibers-selby-mini-skirt-black?refSrc=6737881989204&nosto=productpage-nosto-3
https://us.princesspolly.com/products/mia-shoes-black-high-shine
https://us.princesspolly.com/products/goldsmith-faux-leather-bomber-jacket-black
https://us.princesspolly.com/products/maida-maxi-dress-black
https://us.princesspolly.com/products/reeves-bag-brown
https://open.spotify.com/user/muyengs...
https://soundcloud.com/woonsodesu/midnight-1","{'item': 'Wyandra off the shoulder sweater white', 'reclaimed polyester': '63', 'polyester': '25', 'nylon ': '12'}
{'item': 'Mcguane denim midi skirt', 'cotton': '100'}
{'item': 'Fogler shirt white', 'cotton': '100'}
{'item': 'Selby mini skirt black', 'linen': '20'}
{'item': 'Mia shoes black high shine', 'washed pu ': '100'}
{'item': 'Goldsmith faux leather bomber jacket black', 'rayon': '55', 'polyester': '45'}
{'item': 'Maida maxi dress black', 'polyester': '95', 'elastane': '5'}
{'item': 'Reeves bag brown', 'pu': '65', 'polyester': '35'}
"
"$1,000 PRINCESS POLLY HAUL","https://us.princesspolly.com/products/phillipa-mini-dress-red-1?variant=39793580802132
https://us.princesspolly.com/products/jessica-pu-bustier-red?variant=39707090878548
https://us.princesspolly.com/products/donelli-mini-dress-pink?variant=39862539845716
https://us.princesspolly.com/products/recycled-cotton-blend-on-tour-denim-mom-shorts-light-blue?variant=39629012009044
https://us.princesspolly.com/products/salvin-strapless-maxi-dress-champagne?variant=39667110707284
https://us.princesspolly.com/products/azriel-strapless-bustier-black?variant=39540521795668
https://us.princesspolly.com/products/psychic-reading-strapless-top-white-red?variant=39599474475092
https://us.princesspolly.com/products/bold-move-mini-skirt-black-eco?variant=39829831024724
https://us.princesspolly.com/products/lily-set?variant=31682783641684
https://us.princesspolly.com/products/zoe-eco-nylon-top-black
https://us.princesspolly.com/products/linden-eco-nylon-bodysuit-slate?variant=39707141144660
https://us.princesspolly.com/products/corella-set-pink?variant=39866596360276
https://us.princesspolly.com/products/recycled-nylon-layla-bikini-bottoms-brown?variant=39501925318740
https://us.princesspolly.com/products/recycled-nylon-layla-bikni-top-brown?variant=39501906313300
https://us.princesspolly.com/products/recycled-nylon-claire-bikini-top-brown-spot?variant=39441842896980
https://us.princesspolly.com/products/recycled-nylon-claire-bikini-bottoms-brown-spot?variant=39441843683412
https://us.princesspolly.com/products/kimura-top-white
https://us.princesspolly.com/products/enrico-sunglasses-white?variant=39907461726292","{'item': 'Phillipa mini dress red', 'polyester': '100'}
{'item': 'Jessica pu bustier red', 'polyester': '50', 'pu': '50'}
{'item': 'Donelli mini dress pink', 'nylon': '53', 'metallic': '40', 'elastane': '7'}
{'item': 'On tour denim mom shorts light blue', 'cotton': '60', 'recycled cotton': '40'}
{'item': 'Salvin strapless maxi dress champagne', 'polyester': '100'}
{'item': 'Azriel strapless bustier black', 'nylon': '95', 'spandex': '5'}
{'item': 'Psychic reading strapless top white / red', 'cotton': '95', 'elastane': '5'}
{'item': 'Bold move mini skirt black lower impact', 'reclaimednylon': '88', 'elastane': '12'}
{'item': 'Lily set', 'polyester': '100'}
{'item': 'Zoe top black', 'reclaimed nylon': '86', 'elastane': '14'}
{'item': 'Linden bodysuit slate', 'reclaimed nylon': '86', 'elastane': '14'}
{'item': 'Corella set pink', 'reclaimed polyester': '93', 'elastane': '7'}
{'item': 'Layla high cut bikini bottoms brown', 'reclaimed nylon': '80', 'spandex': '20'}
{'item': 'Layla triangle bikini top brown', 'reclaimed nylon': '80', 'spandex': '20'}
{'item': 'Jenner triangle bikini top brown spot', 'reclaimed nylon': '80', 'spandex': '20'}
{'item': 'Jenner tie side ruched bikini bottoms brown spot', 'reclaimed nylon': '80', 'spandex': '20'}
{'item': 'Kimura top white', 'reclaimed polyester': '80', 'reclaimed cotton': '20'}
{'item': 'Enrico sunglasses white', 'pc': '100'}
"
MY DREAM SPRING WARDROBE 2023 *Princess Polly Try-On Haul*,"https://us.princesspolly.com
https://us.princesspolly.com/products/some-like-it-hot-lace-corset-ghost-white?variant=39691528765524
https://us.princesspolly.com/products/ramos-low-rise-jeans-denim?variant=39884330565716
https://us.princesspolly.com/products/the-charmaine-maxi-skirt-cream?variant=39606483877972
https://us.princesspolly.com/products/kiki-bralette-white?variant=39295200821332
https://us.princesspolly.com/products/brunie-pants-white?variant=39542395306068
https://us.princesspolly.com/products/vacay-mode-tee-yellow?variant=39896436375636
https://us.princesspolly.com/products/iconic-cargo-mini-skirt-beige?variant=39631824158804
https://us.princesspolly.com/products/luvan-lace-corset-top-white?variant=39866793230420
https://us.princesspolly.com/products/the-juney-nylon-headband-white?variant=39889526194260
https://us.princesspolly.com/products/arnim-eco-nylon-long-sleeve-top-white?variant=39666997657684
https://us.princesspolly.com/products/long-summer-nights-top-ivory?variant=39803716960340
https://us.princesspolly.com/products/elenor-bralette-multi?variant=39908526719060
https://us.princesspolly.com/products/elenor-underwear-multi
https://us.princesspolly.com/products/kinski-hair-bow-pack-pink?variant=39840884523092
https://us.princesspolly.com/products/dos-fitted-cami-blue?variant=39881471524948
https://us.princesspolly.com/products/organic-more-than-friends-oversized-top-off-white?
https://us.princesspolly.com/products/highette-off-the-shoulder-top-green?variant=39829868773460
https://us.princesspolly.com/products/satria-hair-clip-pack-pearl?variant=39780222861396
https://us.princesspolly.com/products/haley-maxi-dress-mauve?variant=39852355715156
https://us.princesspolly.com/products/huxley-set-dusty-pink?variant=39775375229012
https://us.princesspolly.com/products/the-amalfi-anglais-headband-white?variant=39793553702996
https://us.princesspolly.com/products/toscan-earrings-gold?variant=39885763313748
https://us.princesspolly.com/products/tyren-two-piece-top-bone?variant=39803714437204
https://www.shopLTK.com/explore/Samnicole","{'item': 'Some like it hot lace corset ghost white', 'nylon': '90', 'elastane': '10'}
{'item': 'Ramos low rise jeans denim', 'cotton': '100'}
{'item': 'The charmaine maxi skirt cream', 'polyester': '97', 'elastane': '3'}
{'item': 'Kiki bralette white', 'cotton': '90', 'elastane': '10'}
{'item': 'Brunie pants white', 'cotton': '70', 'linen': '30'}
{'item': 'Vacay mode tee yellow', 'organic cotton': '47', 'cotton': '47', 'elastane': '6'}
{'item': 'Iconic cargo mini skirt beige', 'cotton': '100'}
{'item': 'Luvan lace corset top white', 'cotton': '100'}
{'item': 'Arnim long sleeve top white', 'reclaimed nylon': '86', 'elastane': '14'}
{'item': 'Long summer nights top ivory', 'cotton': '97', 'elastane': '3'}
{'item': 'Elenor bralette multi', 'polyester': '95', 'elastane': '5'}
{'item': 'Elenor underwear multi', 'polyester': '95', 'elastane': '5'}
{'item': 'Kinski hair bow pack pink', 'polyester': '95', 'iron': '5'}
{'item': 'Dos fitted cami blue', 'nylon': '88', 'elastane': '12'}
{'item': 'More than friends oversized top off white', 'organic cotton': '100'}
{'item': 'Highette off the shoulder top green', 'polyester': '95', 'elastane': '5'}
{'item': 'Satria hair clip pack pearl', 'acrylic': '60', 'zinc': '40'}
{'item': 'Haley maxi dress mauve', 'polyester': '50', 'rayon': '50'}
{'item': 'Huxley set dusty pink', 'polyester': '100'}
{'item': 'The amalfi anglais headband white', 'cotton': '100'}
{'item': 'Toscan earrings gold', 'reclaimed zinc alloy': '98', 'steel': '2'}
{'item': 'Tyren top bone', 'acrylic': '75', 'nylon': '25'}
"
THE BEST PRINCESS POLLY SUMMER TRY ON HAUL💕 EVERY PIECE IS STUNNING *MUST HAVES*,"https://www.amazon.com/shop/bethermias
https://us.princesspolly.com/products/emelina-asymmetric-midi-dress-red
https://us.princesspolly.com/products/rendezvous-strapless-midi-dress-blush
https://us.princesspolly.com/products/yamie-bustier-top-multi
https://us.princesspolly.com/products/barbie-split-midi-skirt-faded-denim
https://us.princesspolly.com/products/marcia-mini-dress-white
https://us.princesspolly.com/products/delilah-top-white-1
https://us.princesspolly.com/products/jexter-one-shoulder-top-slate
https://us.princesspolly.com/products/mona-low-rise-denim-mini-skirt-white
https://us.princesspolly.com/products/eivissa-bagy-jeans-blue-denim-stripe
https://us.princesspolly.com/products/favril-top-brown
https://www.princesspolly.com.au/","{'item': 'Emelina asymmetric midi dress red', 'polyester': '100'}
{'item': 'Rendezvous strapless midi dress blush', 'nylon': '88', 'elastane': '12'}
{'item': 'Yamie bustier top multi', 'reclaimed polyester': '100'}
{'item': 'Barbara split midi skirt faded denim', 'cotton': '100'}
{'item': 'Marcia mini dress white', 'cotton': '70', 'linen': '30'}
{'item': 'Delilah top white', 'polyester': '95', 'elastane': '5'}
{'item': 'Jexter one shoulder top slate', 'reclaimed nylon': '86', 'elastane': '14'}
{'item': 'Mona low rise denim mini skirt white', 'cotton': '98', 'elastane': '2'}
{'item': 'Eivissa baggy jeans blue denim stripe', 'cotton': '100'}
{'item': 'Favril top brown', 'reclaimed polyester': '90', 'elastane': '10'}
"
PRINCESS POLLY TRY ON HAUL + CODE!,"https://www.princesspolly.com.au/products/back-in-time-top-cream?variant=39829478015048
https://www.princesspolly.com.au/products/zardo-splice-maxi-skirt-multi?variant=39834950434888
https://www.princesspolly.com.au/products/zardo-splice-top-multi?variant=39834950795336
https://www.princesspolly.com.au/products/larissa-maxi-dress-white?variant=39717412864072
https://www.princesspolly.com.au/products/glory-mini-dress-blush?variant=39930542227528
https://www.princesspolly.com.au/products/linden-romper-playsuit?variant=39855544041544
https://www.princesspolly.com.au/products/capone-vest-ivory?variant=39822785773640
https://www.princesspolly.com.au/products/barbie-split-midi-skirt-faded-denim?variant=39793196826696
https://www.princesspolly.com.au/products/calissa-long-sleeve-bodysuit-black?variant=39834958463048
https://www.princesspolly.com.au/products/olsen-coat-cream?variant=39876378787912
https://www.princesspolly.com.au/products/eastcrest-aviator-jacket-multi?variant=39888807329864
https://www.princesspolly.com.au/products/sonelle-knit-mini-dress-beige?variant=39882613227592
https://theolathelabel.com/","{'item': 'Back in time top cream', 'reclaimed nylon': '86', 'elastane': '14'}
{'item': 'Zardo splice maxi skirt multi', 'polyester': '100'}
{'item': 'Zardo splice top multi', 'polyester': '100'}
{'item': 'Larissa maxi dress white', 'reclaimed polyester': '63', 'polyester': '25', 'nylon': '12'}
{'item': 'Glory mini dress blush', 'nylon': '88', 'elastane': '12'}
{'item': 'Linden romper black', 'reclaimed nylon': '86', 'elastane': '14'}
{'item': 'Capone vest ivory', 'organic cotton': '75', 'flex': '25'}
{'item': 'Barbara split midi skirt faded denim', 'cotton': '100'}
{'item': 'Calissa long sleeve bodysuit black', 'reclaimed nylon': '86', 'elastane': '14'}
{'item': 'Olsen coat cream', 'polyester': '100'}
{'item': 'Eastcrest aviator jacket multi', 'pu': '100'}
{'item': 'Sonelle knit mini dress beige', 'reclaimed polyester': '73', 'polyester': '24', 'nylon': '3'}
"
RATING princess polly outfits *HAUL*,"https://www.princesspolly.com.au/products/breakaway-sweatshirt-grey-white
https://www.princesspolly.com.au/products/pasadena-crop-top-black?variant=39551592890440
https://www.princesspolly.com.au/products/the-niel-pants-khaki?variant=39541264678984
https://www.princesspolly.com.au/products/peterson-cargo-mini-skirt-khaki?variant=39526158598216
https://www.princesspolly.com.au/products/catch-me-tank-top-slate?variant=39671972397128
https://www.princesspolly.com.au/products/hold-me-close-set-black?variant=39566320074824
https://www.princesspolly.com.au/products/vandana-belt-black-gold?variant=39586762588232
https://www.princesspolly.com.au/products/ravenslea-cargo-pants-light-camouflage
https://www.princesspolly.com.au/products/cuatro-corset-top-white?variant=39614770315336
https://www.princesspolly.com.au/products/organic-cotton-katrina-mini-dress-white?variant=39449525551176
https://youtu.be/goEDrtDZOEw
https://www.snapchat.com/add/leahhaltonn
https://depop.app.link/2NMngTjCk2","{'item': 'Princess polly crewneck sweatshirt bubble text grey / cloud white', 'reclaimed polyester': '52', 'organic cotton': '48'}
{'item': 'Pasadena crop top black', 'polyester': '92', 'elastane': '8'}
{'item': 'The niel pants khaki', 'cotton': '100'}
{'item': 'Peterson cargo mini skirt khaki', 'cotton': '100'}
{'item': 'Catch me tank top slate', 'cotton': '95', 'elastane': '5'}
{'item': 'Hold me close set black', 'polyester': '100'}
{'item': 'Vandana belt black / gold', 'alloy': '90', 'cotton': '10'}
{'item': 'Ravenslea cargo pants light camouflage', 'cotton': '100'}
{'item': 'Cuatro corset top white', 'cotton': '100'}
{'item': 'Katrina mini dress white', 'organic cotton': '95', 'elastane': '5'}
"
